# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.to.snapshot.ms,1706174206422000000,1706174212618000000,0
workspaceModel.collect.changes.ms,1706174206422000000,1706174212618000000,0
workspaceModel.pre.handlers.ms,1706174206422000000,1706174212618000000,0
workspaceModel.loading.from.cache.ms,1706174206422000000,1706174212618000000,205
workspaceModel.updates.ms,1706174206422000000,1706174212618000000,34
workspaceModel.loading.total.ms,1706174206422000000,1706174212618000000,223
workspaceModel.replace.project.model.ms,1706174206422000000,1706174212618000000,0
workspaceModel.init.bridges.ms,1706174206422000000,1706174212618000000,1
workspaceModel.initializing.ms,1706174206422000000,1706174212618000000,1
workspaceModel.updates.precise.ms,1706174206422000000,1706174212618000000,10
workspaceModel.update.unloaded.entities.ms,1706174206422000000,1706174212618000000,0
workspaceModel.check.recursive.update.ms,1706174206422000000,1706174212618000000,0
workspaceModel.updates.count,1706174206422000000,1706174212618000000,2
NonBlockingReadAction.finalizedExecutionTimeUs,1706174206422000000,1706174212618000000,544099
NonBlockingReadAction.failedExecutionsCount,1706174206422000000,1706174212618000000,0
AWTEventQueue.dispatchTimeTotalNS,1706174206422000000,1706174212618000000,2685348388
NonBlockingReadAction.finalizedExecutionsCount,1706174206422000000,1706174212618000000,1
NonBlockingReadAction.failedExecutionTimeUs,1706174206422000000,1706174212618000000,0
jps.facet.change.listener.before.change.events.ms,1706174206422000000,1706174212618000000,0
jps.app.storage.content.writer.save.component.ms,1706174206422000000,1706174212618000000,0
workspaceModel.orphan.listener.update.ms,1706174206422000000,1706174212618000000,3
jps.global.handle.changed.events.ms,1706174206422000000,1706174212618000000,0
jps.project.serializers.load.ms,1706174206422000000,1706174212618000000,0
jps.save.global.entities.ms,1706174206422000000,1706174212618000000,1
workspaceModel.moduleBridge.update.option.ms,1706174206422000000,1706174212618000000,0
jps.global.initialize.library.bridges.after.loading.ms,1706174206422000000,1706174212618000000,0
jps.global.get.library.ms,1706174206422000000,1706174212618000000,0
jps.global.handle.before.change.events.ms,1706174206422000000,1706174212618000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1706174206422000000,1706174212618000000,0
workspaceModel.global.apply.state.to.project.ms,1706174206422000000,1706174212618000000,26
workspaceModel.global.apply.state.to.project.builder.ms,1706174206422000000,1706174212618000000,0
workspaceModel.sync.entities.ms,1706174206422000000,1706174212618000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1706174206422000000,1706174212618000000,1
workspaceModel.moduleBridge.before.changed.ms,1706174206422000000,1706174212618000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706174206422000000,1706174212618000000,0
jps.reload.project.entities.ms,1706174206422000000,1706174212618000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1706174206422000000,1706174212618000000,527
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706174206422000000,1706174212618000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706174206422000000,1706174212618000000,0
jps.load.project.to.empty.storage.ms,1706174206422000000,1706174212618000000,0
jps.apply.loaded.storage.ms,1706174206422000000,1706174212618000000,0
jps.facet.change.listener.init.bridge.ms,1706174206422000000,1706174212618000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1706174206422000000,1706174212618000000,0
jps.module.iml.entities.serializer.load.entities.ms,1706174206422000000,1706174212618000000,0
workspaceModel.global.updates.ms,1706174206422000000,1706174212618000000,0
jps.facet.change.listener.process.change.events.ms,1706174206422000000,1706174212618000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706174206422000000,1706174212618000000,1
jps.library.entities.serializer.save.entities.ms,1706174206422000000,1706174212618000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1706174206422000000,1706174212618000000,0
