# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collectionTimesMs,1706135389325000000,1706135449366000000,311
JVM.GC.collections,1706135389325000000,1706135449366000000,29
JVM.totalCpuTimeMs,1706135389325000000,1706135449366000000,76840
OS.loadAverage,1706135389325000000,1706135449366000000,3.51904296875
JVM.totalBytesAllocated,1706135389325000000,1706135449366000000,2723750520
JVM.maxHeapBytes,1706135389325000000,1706135449366000000,2147483648
JVM.threadCount,1706135389325000000,1706135449366000000,138
JVM.maxNativeBytes,1706135389325000000,1706135449366000000,-1
JVM.usedNativeBytes,1706135389325000000,1706135449366000000,362935344
JVM.usedHeapBytes,1706135389325000000,1706135449366000000,344981504
jps.global.handle.changed.events.ms,1706135389325000000,1706135449366000000,0
jps.library.entities.serializer.load.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706135389325000000,1706135449366000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706135389325000000,1706135449366000000,1
jps.artifact.entities.serializer.load.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1706135389325000000,1706135449366000000,0
jps.global.get.libraries.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1706135389325000000,1706135449366000000,0
workspaceModel.orphan.listener.update.ms,1706135389325000000,1706135449366000000,1
jps.facet.change.listener.process.change.events.ms,1706135389325000000,1706135449366000000,1
jps.app.storage.content.reader.load.component.ms,1706135389325000000,1706135449366000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1706135389325000000,1706135449366000000,0
jps.module.iml.entities.serializer.save.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.save.cache.to.file.ms,1706135389325000000,1706135449366000000,66
workspaceModel.moduleBridge.before.changed.ms,1706135389325000000,1706135449366000000,0
jps.apply.loaded.storage.ms,1706135389325000000,1706135449366000000,0
jps.facet.change.listener.init.bridge.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706135389325000000,1706135449366000000,0
jps.library.entities.serializer.save.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1706135389325000000,1706135449366000000,23
workspaceModel.sync.entities.ms,1706135389325000000,1706135449366000000,0
jps.project.serializers.save.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1706135389325000000,1706135449366000000,570
workspaceModel.moduleManagerBridge.newModule.ms,1706135389325000000,1706135449366000000,0
jps.global.initialize.library.bridges.ms,1706135389325000000,1706135449366000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.load.cache.metadata.from.file.ms,1706135389325000000,1706135449366000000,21
workspaceModel.mutableEntityStorage.add.entity.ms,1706135389325000000,1706135449366000000,22
jps.artifact.entities.serializer.save.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.global.updates.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1706135389325000000,1706135449366000000,0
jps.global.handle.before.change.events.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1706135389325000000,1706135449366000000,53
workspaceModel.global.apply.state.to.project.builder.ms,1706135389325000000,1706135449366000000,1
workspaceModel.global.apply.state.to.project.ms,1706135389325000000,1706135449366000000,35
jps.load.project.to.empty.storage.ms,1706135389325000000,1706135449366000000,83
workspaceModel.moduleManagerBridge.get.modules.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleBridge.update.option.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.entities.ms,1706135389325000000,1706135449366000000,1
jps.reload.project.entities.ms,1706135389325000000,1706135449366000000,0
jps.save.changed.project.entities.ms,1706135389325000000,1706135449366000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706135389325000000,1706135449366000000,3
jps.facet.change.listener.before.change.events.ms,1706135389325000000,1706135449366000000,0
jps.global.initialize.library.bridges.after.loading.ms,1706135389325000000,1706135449366000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1706135389325000000,1706135449366000000,10
jps.module.iml.entities.serializer.load.entities.ms,1706135389325000000,1706135449366000000,25
jps.global.get.library.ms,1706135389325000000,1706135449366000000,0
jps.app.storage.content.writer.save.component.ms,1706135389325000000,1706135449366000000,0
jps.global.get.library.by.name.ms,1706135389325000000,1706135449366000000,0
