# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.library.ms,1706283015066000000,1706283031020000000,0
jps.save.global.entities.ms,1706283015066000000,1706283031020000000,60
workspaceModel.global.updates.ms,1706283015066000000,1706283031020000000,0
jps.global.handle.before.change.events.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1706283015066000000,1706283031020000000,0
jps.library.entities.serializer.save.entities.ms,1706283015066000000,1706283031020000000,0
jps.app.storage.content.reader.load.component.ms,1706283015066000000,1706283031020000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1706283015066000000,1706283031020000000,0
workspaceModel.save.cache.to.file.ms,1706283015066000000,1706283031020000000,0
jps.global.initialize.library.bridges.after.loading.ms,1706283015066000000,1706283031020000000,0
jps.global.initialize.library.bridges.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706283015066000000,1706283031020000000,0
workspaceModel.sync.entities.ms,1706283015066000000,1706283031020000000,0
workspaceModel.global.updates.count,1706283015066000000,1706283031020000000,0
jps.app.storage.content.writer.save.component.ms,1706283015066000000,1706283031020000000,0
workspaceModel.load.cache.metadata.from.file.ms,1706283015066000000,1706283031020000000,0
jps.global.get.library.by.name.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706283015066000000,1706283031020000000,0
workspaceModel.global.apply.state.to.project.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.entities.ms,1706283015066000000,1706283031020000000,8
workspaceModel.mutableEntityStorage.add.entity.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706283015066000000,1706283031020000000,0
jps.global.handle.changed.events.ms,1706283015066000000,1706283031020000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1706283015066000000,1706283031020000000,0
jps.load.initial.state.ms,1706283015066000000,1706283031020000000,16
workspaceModel.load.cache.from.file.ms,1706283015066000000,1706283031020000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706283015066000000,1706283031020000000,1
jps.library.entities.serializer.load.entities.ms,1706283015066000000,1706283031020000000,0
jps.global.get.libraries.ms,1706283015066000000,1706283031020000000,0
AWTEventQueue.dispatchTimeTotalNS,1706283015066000000,1706283031020000000,3054762878
FilePageCacheLockFree.totalBytesRead,1706283015066000000,1706283031020000000,16384
FilePageCacheLockFree.totalPagesReclaimed,1706283015066000000,1706283031020000000,2
FilePageCacheLockFree.totalBytesWritten,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.nativeBytesInUse,1706283015066000000,1706283031020000000,0
FilePageCache.totalPageLoadsUs,1706283015066000000,1706283031020000000,295174
FilePageCache.uncachedFileAccess,1706283015066000000,1706283031020000000,112
DirectByteBufferAllocator.reclaimed,1706283015066000000,1706283031020000000,47
FilePageCacheLockFree.totalPagesHandedOver,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.totalPagesRequested,1706283015066000000,1706283031020000000,4
FilePageCacheLockFree.totalPagesReadMs,1706283015066000000,1706283031020000000,7
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1706283015066000000,1706283031020000000,41975808
FilePageCache.maxRegisteredFiles,1706283015066000000,1706283031020000000,539
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706283015066000000,1706283031020000000,41975808
FilePageCacheLockFree.housekeeperTimeSpentMs,1706283015066000000,1706283031020000000,295
FilePageCache.pageLoads,1706283015066000000,1706283031020000000,206
FilePageCache.totalPageDisposalsUs,1706283015066000000,1706283031020000000,931
FilePageCacheLockFree.totalNativeBytesAllocated,1706283015066000000,1706283031020000000,16384
FilePageCacheLockFree.totalPagesWritten,1706283015066000000,1706283031020000000,0
FilePageCache.pageHits,1706283015066000000,1706283031020000000,0
FilePageCache.capacityInBytes,1706283015066000000,1706283031020000000,503316478
FilePageCacheLockFree.totalPageAllocationsWaited,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1706283015066000000,1706283031020000000,16384
StorageLockContext.competingThreads.90P,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.totalPagesWriteMs,1706283015066000000,1706283031020000000,0
FilePageCache.pageFastCacheHits,1706283015066000000,1706283031020000000,61703
FilePageCacheLockFree.totalClosedStoragesReclaimed,1706283015066000000,1706283031020000000,2
DirectByteBufferAllocator.disposed,1706283015066000000,1706283031020000000,161
FilePageCacheLockFree.totalHeapBytesReclaimed,1706283015066000000,1706283031020000000,0
FilePageCache.maxCacheSizeInBytes,1706283015066000000,1706283031020000000,210780160
FilePageCacheLockFree.totalPagesAllocated,1706283015066000000,1706283031020000000,2
FilePageCacheLockFree.housekeeperTurnsDone,1706283015066000000,1706283031020000000,34
FilePageCache.pageLoadsAboveSizeThreshold,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1706283015066000000,1706283031020000000,9
FilePageCacheLockFree.totalBytesRequested,1706283015066000000,1706283031020000000,32768
DirectByteBufferAllocator.hits,1706283015066000000,1706283031020000000,3
StorageLockContext.competingThreads.max,1706283015066000000,1706283031020000000,1
FilePageCacheLockFree.housekeeperTurnsSkipped,1706283015066000000,1706283031020000000,12827
FileChannelInterruptsRetryer.totalRetriedAttempts,1706283015066000000,1706283031020000000,0
FilePageCacheLockFree.heapBytesInUse,1706283015066000000,1706283031020000000,0
StorageLockContext.competingThreads.avg,1706283015066000000,1706283031020000000,0.03225806451612903
DirectByteBufferAllocator.misses,1706283015066000000,1706283031020000000,205
FilePageCache.disposedBuffers,1706283015066000000,1706283031020000000,206
