# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTurnsDone,1706136485560000000,1706136545610000000,120
FilePageCacheLockFree.totalPagesWriteMs,1706136485560000000,1706136545610000000,2
FilePageCacheLockFree.totalPagesAllocated,1706136485560000000,1706136545610000000,195
FilePageCacheLockFree.totalHeapBytesReclaimed,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.heapBytesInUse,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.totalPagesRequested,1706136485560000000,1706136545610000000,4401
FilePageCache.pageLoadsAboveSizeThreshold,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1706136485560000000,1706136545610000000,1597440
StorageLockContext.competingThreads.max,1706136485560000000,1706136545610000000,0
DirectByteBufferAllocator.misses,1706136485560000000,1706136545610000000,472
StorageLockContext.competingThreads.avg,1706136485560000000,1706136545610000000,0.0
FilePageCacheLockFree.totalPagesReclaimed,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.totalBytesRequested,1706136485560000000,1706136545610000000,36052992
FilePageCache.pageLoads,1706136485560000000,1706136545610000000,299
FilePageCacheLockFree.totalPagesRequestsMs,1706136485560000000,1706136545610000000,94
FilePageCacheLockFree.nativeBytesInUse,1706136485560000000,1706136545610000000,1597440
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1706136485560000000,1706136545610000000,23442814
FilePageCache.pageFastCacheHits,1706136485560000000,1706136545610000000,193892
FilePageCache.disposedBuffers,1706136485560000000,1706136545610000000,22
FilePageCache.totalPageLoadsUs,1706136485560000000,1706136545610000000,296759
StreamlinedBlobStorage.recordsDeleted,1706136485560000000,1706136545610000000,967
FilePageCache.uncachedFileAccess,1706136485560000000,1706136545610000000,187
FilePageCacheLockFree.totalPagesHandedOver,1706136485560000000,1706136545610000000,0
StreamlinedBlobStorage.recordsAllocated,1706136485560000000,1706136545610000000,31718
FilePageCacheLockFree.totalBytesRead,1706136485560000000,1706136545610000000,1573405
FilePageCache.maxCacheSizeInBytes,1706136485560000000,1706136545610000000,288374784
FilePageCache.capacityInBytes,1706136485560000000,1706136545610000000,503316478
FilePageCacheLockFree.housekeeperTurnsSkipped,1706136485560000000,1706136545610000000,51351
FilePageCacheLockFree.totalHeapBytesAllocated,1706136485560000000,1706136545610000000,0
StorageLockContext.competingThreads.90P,1706136485560000000,1706136545610000000,0
MappedFileStorage.storages,1706136485560000000,1706136545610000000,16
MappedFileStorage.totalPagesMapped,1706136485560000000,1706136545610000000,17
MappedFileStorage.totalTimeSpentOnMappingUs,1706136485560000000,1706136545610000000,2097
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1706136485560000000,1706136545610000000,289972224
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1706136485560000000,1706136545610000000,17043443
FilePageCacheLockFree.totalPagesWritten,1706136485560000000,1706136545610000000,11
FilePageCache.totalPageDisposalsUs,1706136485560000000,1706136545610000000,1083
DirectByteBufferAllocator.reclaimed,1706136485560000000,1706136545610000000,22
DirectByteBufferAllocator.disposed,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1706136485560000000,1706136545610000000,0
MappedFileStorage.totalBytesMapped,1706136485560000000,1706136545610000000,153354240
FilePageCacheLockFree.totalBytesWritten,1706136485560000000,1706136545610000000,31180
FilePageCache.maxRegisteredFiles,1706136485560000000,1706136545610000000,577
FilePageCacheLockFree.totalPageAllocationsWaited,1706136485560000000,1706136545610000000,0
StreamlinedBlobStorage.recordsRelocated,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1706136485560000000,1706136545610000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706136485560000000,1706136545610000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1706136485560000000,1706136545610000000,0
DirectByteBufferAllocator.hits,1706136485560000000,1706136545610000000,22
FilePageCache.pageHits,1706136485560000000,1706136545610000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1706136485560000000,1706136545610000000,447
FilePageCacheLockFree.totalPagesReadMs,1706136485560000000,1706136545610000000,83
FileNameCache.totalMisses,1706136485560000000,1706136545610000000,123072
FileNameCache.queries,1706136485560000000,1706136545610000000,4351207
Indexes.entries.lookupDurationAvgMs,1706136485560000000,1706136545610000000,0.0
Indexes.entries.lookups,1706136485560000000,1706136545610000000,0.0
Indexes.stubs.lookupDurationAvgMs,1706136485560000000,1706136545610000000,0.0
IndexesFlusher.totalFlushesRetried,1706136485560000000,1706136545610000000,0
Indexes.entries.lookupDuration90PMs,1706136485560000000,1706136545610000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1706136485560000000,1706136545610000000,0
Indexes.stubs.lookupDuration90PMs,1706136485560000000,1706136545610000000,0.0
Indexes.entries.lookupDurationMaxMs,1706136485560000000,1706136545610000000,0.0
IndexesFlusher.totalFlushingTimeUs,1706136485560000000,1706136545610000000,62366
Indexes.allKeys.lookupDuration90PMs,1706136485560000000,1706136545610000000,0.0
IndexesFlusher.totalFlushes,1706136485560000000,1706136545610000000,59
Indexes.allKeys.lookups,1706136485560000000,1706136545610000000,0.0
Indexes.stubs.lookups,1706136485560000000,1706136545610000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1706136485560000000,1706136545610000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1706136485560000000,1706136545610000000,0.0
Indexes.stubs.lookupDurationMaxMs,1706136485560000000,1706136545610000000,0.0
workspaceModel.mutableEntityStorage.put.entity.ms,1706136485560000000,1706136545610000000,8
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706136485560000000,1706136545610000000,1
jps.library.entities.serializer.load.entities.ms,1706136485560000000,1706136545610000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1706136485560000000,1706136545610000000,9
jps.app.storage.content.reader.load.component.ms,1706136485560000000,1706136545610000000,1
jps.global.get.library.by.name.ms,1706136485560000000,1706136545610000000,0
workspaceModel.moduleBridge.update.option.ms,1706136485560000000,1706136545610000000,0
jps.facet.change.listener.before.change.events.ms,1706136485560000000,1706136545610000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706136485560000000,1706136545610000000,0
jps.save.global.entities.ms,1706136485560000000,1706136545610000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706136485560000000,1706136545610000000,0
workspaceModel.save.cache.to.file.ms,1706136485560000000,1706136545610000000,58
workspaceModel.load.cache.from.file.ms,1706136485560000000,1706136545610000000,165
jps.apply.loaded.storage.ms,1706136485560000000,1706136545610000000,24218
jps.global.initialize.library.bridges.ms,1706136485560000000,1706136545610000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706136485560000000,1706136545610000000,40
jps.global.get.libraries.ms,1706136485560000000,1706136545610000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1706136485560000000,1706136545610000000,1
