# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1706263207583000000,1706263267622000000,74091
IndexesFlusher.totalContentionQuotaSpent,1706263207583000000,1706263267622000000,0
IndexesFlusher.totalFlushes,1706263207583000000,1706263267622000000,57
IndexesFlusher.totalFlushesRetried,1706263207583000000,1706263267622000000,0
FileNameCache.totalMisses,1706263207583000000,1706263267622000000,41371
FileNameCache.queries,1706263207583000000,1706263267622000000,549932
workspaceModel.pre.handlers.ms,1706263207583000000,1706263267622000000,0
workspaceModel.collect.changes.ms,1706263207583000000,1706263267622000000,0
workspaceModel.loading.from.cache.ms,1706263207583000000,1706263267622000000,42
workspaceModel.replace.project.model.ms,1706263207583000000,1706263267622000000,0
workspaceModel.check.recursive.update.ms,1706263207583000000,1706263267622000000,0
workspaceModel.initializing.ms,1706263207583000000,1706263267622000000,0
workspaceModel.updates.count,1706263207583000000,1706263267622000000,0
workspaceModel.updates.precise.ms,1706263207583000000,1706263267622000000,0
workspaceModel.loading.total.ms,1706263207583000000,1706263267622000000,70
workspaceModel.init.bridges.ms,1706263207583000000,1706263267622000000,0
workspaceModel.update.unloaded.entities.ms,1706263207583000000,1706263267622000000,0
workspaceModel.updates.ms,1706263207583000000,1706263267622000000,0
workspaceModel.to.snapshot.ms,1706263207583000000,1706263267622000000,0
workspaceModel.global.updates.count,1706263207583000000,1706263267622000000,0
jps.global.initialize.library.bridges.after.loading.ms,1706263207583000000,1706263267622000000,0
jps.library.entities.serializer.load.entities.ms,1706263207583000000,1706263267622000000,0
jps.global.handle.before.change.events.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.entities.ms,1706263207583000000,1706263267622000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706263207583000000,1706263267622000000,0
workspaceModel.load.cache.metadata.from.file.ms,1706263207583000000,1706263267622000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1706263207583000000,1706263267622000000,0
workspaceModel.global.apply.state.to.project.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1706263207583000000,1706263267622000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1706263207583000000,1706263267622000000,0
jps.load.initial.state.ms,1706263207583000000,1706263267622000000,14
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706263207583000000,1706263267622000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1706263207583000000,1706263267622000000,0
jps.app.storage.content.writer.save.component.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706263207583000000,1706263267622000000,0
workspaceModel.global.updates.ms,1706263207583000000,1706263267622000000,0
jps.global.handle.changed.events.ms,1706263207583000000,1706263267622000000,0
jps.library.entities.serializer.save.entities.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1706263207583000000,1706263267622000000,1
workspaceModel.load.cache.from.file.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706263207583000000,1706263267622000000,0
jps.global.initialize.library.bridges.ms,1706263207583000000,1706263267622000000,0
jps.global.get.libraries.ms,1706263207583000000,1706263267622000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1706263207583000000,1706263267622000000,0
jps.global.get.library.by.name.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1706263207583000000,1706263267622000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1706263207583000000,1706263267622000000,10
workspaceModel.moduleManagerBridge.load.module.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706263207583000000,1706263267622000000,0
jps.app.storage.content.reader.load.component.ms,1706263207583000000,1706263267622000000,2
workspaceModel.sync.entities.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706263207583000000,1706263267622000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1706263207583000000,1706263267622000000,0
jps.save.global.entities.ms,1706263207583000000,1706263267622000000,36
workspaceModel.save.cache.to.file.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1706263207583000000,1706263267622000000,0
jps.global.get.library.ms,1706263207583000000,1706263267622000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1706263207583000000,1706263267622000000,0
FilePageCache.totalPageDisposalsUs,1706263207583000000,1706263267622000000,890
StorageLockContext.competingThreads.avg,1706263207583000000,1706263267622000000,0.0
StorageLockContext.competingThreads.max,1706263207583000000,1706263267622000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1706263207583000000,1706263267622000000,1659
StreamlinedBlobStorage.recordsAllocated,1706263207583000000,1706263267622000000,31719
FilePageCacheLockFree.totalNativeBytesReclaimed,1706263207583000000,1706263267622000000,0
MappedFileStorage.storages,1706263207583000000,1706263267622000000,16
FilePageCacheLockFree.housekeeperTurnsDone,1706263207583000000,1706263267622000000,120
StorageLockContext.competingThreads.90P,1706263207583000000,1706263267622000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1706263207583000000,1706263267622000000,0
FilePageCache.disposedBuffers,1706263207583000000,1706263267622000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706263207583000000,1706263267622000000,0
DirectByteBufferAllocator.misses,1706263207583000000,1706263267622000000,413
FilePageCacheLockFree.totalPagesWritten,1706263207583000000,1706263267622000000,0
FilePageCacheLockFree.heapBytesInUse,1706263207583000000,1706263267622000000,0
FilePageCache.pageLoads,1706263207583000000,1706263267622000000,414
FilePageCacheLockFree.nativeBytesInUse,1706263207583000000,1706263267622000000,16384
FilePageCacheLockFree.totalBytesRequested,1706263207583000000,1706263267622000000,32768
FilePageCache.pageFastCacheHits,1706263207583000000,1706263267622000000,217787
FilePageCacheLockFree.housekeeperTimeSpentMs,1706263207583000000,1706263267622000000,516
