# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1706282930041000000,1706282955284000000,293
FilePageCacheLockFree.totalBytesRead,1706282930041000000,1706282955284000000,16384
FilePageCacheLockFree.heapBytesInUse,1706282930041000000,1706282955284000000,0
FilePageCache.maxRegisteredFiles,1706282930041000000,1706282955284000000,539
FilePageCacheLockFree.housekeeperTurnsSkipped,1706282930041000000,1706282955284000000,21581
DirectByteBufferAllocator.misses,1706282930041000000,1706282955284000000,337
FilePageCacheLockFree.totalClosedStoragesReclaimed,1706282930041000000,1706282955284000000,2
FilePageCacheLockFree.totalPagesHandedOver,1706282930041000000,1706282955284000000,0
FilePageCacheLockFree.totalBytesWritten,1706282930041000000,1706282955284000000,0
FilePageCacheLockFree.totalPagesWritten,1706282930041000000,1706282955284000000,0
FilePageCache.disposedBuffers,1706282930041000000,1706282955284000000,338
StorageLockContext.competingThreads.avg,1706282930041000000,1706282955284000000,0.0
StorageLockContext.competingThreads.max,1706282930041000000,1706282955284000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1706282930041000000,1706282955284000000,0
FilePageCacheLockFree.totalBytesRequested,1706282930041000000,1706282955284000000,32768
FilePageCache.maxCacheSizeInBytes,1706282930041000000,1706282955284000000,349192192
FilePageCacheLockFree.totalHeapBytesAllocated,1706282930041000000,1706282955284000000,0
FilePageCache.uncachedFileAccess,1706282930041000000,1706282955284000000,368
FilePageCacheLockFree.totalHeapBytesReclaimed,1706282930041000000,1706282955284000000,0
FilePageCacheLockFree.totalPagesAllocated,1706282930041000000,1706282955284000000,2
FilePageCache.pageLoads,1706282930041000000,1706282955284000000,338
FileChannelInterruptsRetryer.totalRetriedAttempts,1706282930041000000,1706282955284000000,0
StorageLockContext.competingThreads.90P,1706282930041000000,1706282955284000000,0
FilePageCache.capacityInBytes,1706282930041000000,1706282955284000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1706282930041000000,1706282955284000000,9
FilePageCacheLockFree.totalNativeBytesAllocated,1706282930041000000,1706282955284000000,16384
FilePageCacheLockFree.totalPagesRequested,1706282930041000000,1706282955284000000,4
FilePageCacheLockFree.housekeeperTurnsDone,1706282930041000000,1706282955284000000,53
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1706282930041000000,1706282955284000000,41975808
FilePageCacheLockFree.totalNativeBytesReclaimed,1706282930041000000,1706282955284000000,16384
DirectByteBufferAllocator.hits,1706282930041000000,1706282955284000000,3
FilePageCacheLockFree.totalPagesWriteMs,1706282930041000000,1706282955284000000,0
FilePageCache.pageFastCacheHits,1706282930041000000,1706282955284000000,5095375
FilePageCacheLockFree.totalPageAllocationsWaited,1706282930041000000,1706282955284000000,0
