# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1706134597359000000,1706134657390000000,0
workspaceModel.to.snapshot.ms,1706134597359000000,1706134657390000000,0
workspaceModel.update.unloaded.entities.ms,1706134597359000000,1706134657390000000,0
workspaceModel.check.recursive.update.ms,1706134597359000000,1706134657390000000,0
workspaceModel.updates.precise.ms,1706134597359000000,1706134657390000000,0
workspaceModel.initializing.ms,1706134597359000000,1706134657390000000,0
workspaceModel.updates.count,1706134597359000000,1706134657390000000,0
workspaceModel.loading.total.ms,1706134597359000000,1706134657390000000,38
workspaceModel.init.bridges.ms,1706134597359000000,1706134657390000000,0
workspaceModel.updates.ms,1706134597359000000,1706134657390000000,0
workspaceModel.replace.project.model.ms,1706134597359000000,1706134657390000000,0
workspaceModel.loading.from.cache.ms,1706134597359000000,1706134657390000000,23
workspaceModel.collect.changes.ms,1706134597359000000,1706134657390000000,0
FileNameCache.queries,1706134597359000000,1706134657390000000,0
FileNameCache.totalMisses,1706134597359000000,1706134657390000000,0
FilePageCacheLockFree.totalPagesRequested,1706134597359000000,1706134657390000000,9
FilePageCacheLockFree.totalNativeBytesAllocated,1706134597359000000,1706134657390000000,16384
MappedFileStorage.totalBytesMapped,1706134597359000000,1706134657390000000,98566144
FilePageCache.totalPageLoadsUs,1706134597359000000,1706134657390000000,559351
DirectByteBufferAllocator.misses,1706134597359000000,1706134657390000000,512
FilePageCache.disposedBuffers,1706134597359000000,1706134657390000000,401
StreamlinedBlobStorage.recordsDeleted,1706134597359000000,1706134657390000000,0
FilePageCacheLockFree.totalBytesRequested,1706134597359000000,1706134657390000000,73728
FilePageCacheLockFree.totalPagesHandedOver,1706134597359000000,1706134657390000000,0
FilePageCache.capacityInBytes,1706134597359000000,1706134657390000000,503316478
MappedFileStorage.storages,1706134597359000000,1706134657390000000,6
