# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationAvgMs,1706184176411000000,1706184190028000000,4.714285714285714
Indexes.allKeys.lookupDurationMaxMs,1706184176411000000,1706184190028000000,40.0
Indexes.stubs.lookupDurationAvgMs,1706184176411000000,1706184190028000000,0.0
Indexes.stubs.lookupDurationMaxMs,1706184176411000000,1706184190028000000,0.0
Indexes.allKeys.lookups,1706184176411000000,1706184190028000000,1.0
Indexes.entries.lookups,1706184176411000000,1706184190028000000,7.0
Indexes.allKeys.lookupDurationAvgMs,1706184176411000000,1706184190028000000,40.0
Indexes.entries.lookupDuration90PMs,1706184176411000000,1706184190028000000,32.0
Indexes.allKeys.lookupDuration90PMs,1706184176411000000,1706184190028000000,40.0
Indexes.entries.lookupDurationMaxMs,1706184176411000000,1706184190028000000,32.0
Indexes.stubs.lookups,1706184176411000000,1706184190028000000,0.0
workspaceModel.replace.project.model.ms,1706184176411000000,1706184190028000000,0
workspaceModel.init.bridges.ms,1706184176411000000,1706184190028000000,2
workspaceModel.to.snapshot.ms,1706184176411000000,1706184190028000000,0
workspaceModel.check.recursive.update.ms,1706184176411000000,1706184190028000000,0
workspaceModel.update.unloaded.entities.ms,1706184176411000000,1706184190028000000,0
workspaceModel.updates.count,1706184176411000000,1706184190028000000,2
workspaceModel.collect.changes.ms,1706184176411000000,1706184190028000000,0
workspaceModel.pre.handlers.ms,1706184176411000000,1706184190028000000,1
workspaceModel.loading.from.cache.ms,1706184176411000000,1706184190028000000,255
workspaceModel.loading.total.ms,1706184176411000000,1706184190028000000,279
workspaceModel.updates.precise.ms,1706184176411000000,1706184190028000000,17
workspaceModel.initializing.ms,1706184176411000000,1706184190028000000,2
workspaceModel.updates.ms,1706184176411000000,1706184190028000000,58
FileChannelInterruptsRetryer.totalRetriedAttempts,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1706184176411000000,1706184190028000000,129
FilePageCacheLockFree.totalPagesWritten,1706184176411000000,1706184190028000000,6
FilePageCacheLockFree.totalHeapBytesAllocated,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1706184176411000000,1706184190028000000,29
DirectByteBufferAllocator.misses,1706184176411000000,1706184190028000000,262
FilePageCacheLockFree.totalPagesRequestsMs,1706184176411000000,1706184190028000000,23
FilePageCache.totalPageDisposalsUs,1706184176411000000,1706184190028000000,1289
FilePageCacheLockFree.totalPagesReadMs,1706184176411000000,1706184190028000000,15
DirectByteBufferAllocator.reclaimed,1706184176411000000,1706184190028000000,75
FilePageCacheLockFree.totalPagesHandedOver,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.totalBytesRead,1706184176411000000,1706184190028000000,101272
StorageLockContext.competingThreads.max,1706184176411000000,1706184190028000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.totalPagesWriteMs,1706184176411000000,1706184190028000000,2
FilePageCacheLockFree.totalPagesAllocated,1706184176411000000,1706184190028000000,14
FilePageCacheLockFree.totalBytesRequested,1706184176411000000,1706184190028000000,28778496
DirectByteBufferAllocator.hits,1706184176411000000,1706184190028000000,19
FilePageCache.pageLoads,1706184176411000000,1706184190028000000,267
FilePageCacheLockFree.totalClosedStoragesReclaimed,1706184176411000000,1706184190028000000,2
FilePageCacheLockFree.nativeBytesInUse,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1706184176411000000,1706184190028000000,0
FilePageCacheLockFree.totalPagesReclaimed,1706184176411000000,1706184190028000000,14
FilePageCacheLockFree.heapBytesInUse,1706184176411000000,1706184190028000000,0
FilePageCache.pageFastCacheHits,1706184176411000000,1706184190028000000,140517
